date,lat,long
2022-02-07 22:19:30.384303,41.462068,-82.098956
2022-02-07 22:19:30.384303,41.206121,-80.741453
2022-02-07 22:19:30.384303,41.361685,-81.421243
2022-02-07 22:19:30.384303,42.904481,-81.24121
2022-02-07 22:19:30.384303,43.524884,-80.218896
2022-02-07 22:19:30.384303,41.721419,-81.28473
2022-02-07 22:19:30.384303,40.972834,-81.779639
2022-02-07 22:19:30.384303,41.469117,-81.75353
2022-02-07 22:19:30.384303,41.241908,-80.762128
2022-02-07 22:19:30.384303,43.493338,-80.407411
2022-02-07 22:19:30.384303,41.356943,-81.470221
2022-02-07 22:19:30.384303,41.414873,-81.407428
2022-02-07 22:19:30.384303,41.029936,-82.520464
2022-02-07 22:50:41.649537,43.864386,-80.001551
2022-02-07 22:50:41.649537,43.208023,-79.841707
2022-02-07 22:50:41.649537,43.311897,-80.474262
2022-02-07 22:50:41.649537,41.422947,-81.786159
2022-02-07 22:50:41.649537,41.323179,-81.455155
2022-02-07 22:50:41.649537,41.605755,-81.439785
2022-02-07 22:50:41.649537,43.860994,-79.854784
2022-02-07 22:50:41.649537,41.242922,-81.147767
2022-02-07 22:50:41.649537,41.597309,-81.477894
2022-02-07 22:50:41.649537,41.464543,-82.009618
2022-02-07 22:50:41.649537,43.437095,-80.456622
2022-02-07 22:50:41.649537,43.54405,-80.063623
2022-02-07 22:50:41.649537,43.461346,-80.473343
2022-02-07 22:50:41.649537,41.284499,-81.636039
2022-02-07 22:50:56.906734,43.267669,-80.550624
2022-02-09 01:07:53.828595,41.315425,-81.811754
2022-02-09 01:07:53.828595,41.274459,-81.806321
2022-02-09 01:07:53.828595,41.464532,-81.528472
2022-02-09 01:09:42.015196,41.258683,-81.501013
2022-02-09 01:09:42.015196,41.315425,-81.811754
2022-02-09 01:09:42.015196,41.274459,-81.806321
2022-02-09 01:09:42.015196,41.464532,-81.528472
2022-02-09 01:11:05.935234,41.258683,-81.501013
2022-02-09 01:11:05.935234,41.315425,-81.811754
2022-02-09 01:11:05.935234,41.274459,-81.806321
2022-02-09 01:11:05.935234,41.464532,-81.528472
2022-02-09 01:13:38.747700,41.258683,-81.501013
2022-02-09 01:13:38.747700,41.315425,-81.811754
2022-02-09 01:13:38.747700,41.274459,-81.806321
2022-02-09 01:13:38.747700,41.464532,-81.528472
2022-02-09 01:16:58.965551,41.258683,-81.501013
2022-02-09 01:16:58.965551,41.315425,-81.811754
2022-02-09 01:16:58.965551,41.274459,-81.806321
2022-02-09 01:16:58.965551,41.464532,-81.528472
2022-02-09 01:18:57.629904,41.258683,-81.501013
2022-02-09 01:18:57.629904,41.315425,-81.811754
2022-02-09 01:18:57.629904,41.274459,-81.806321
2022-02-09 01:18:57.629904,41.464532,-81.528472
2022-02-09 01:19:57.480110,41.258683,-81.501013
2022-02-09 01:19:57.480110,41.315425,-81.811754
2022-02-09 01:19:57.480110,41.274459,-81.806321
2022-02-09 01:19:57.480110,41.464532,-81.528472
2022-02-09 01:21:06.971094,41.258683,-81.501013
2022-02-09 01:21:06.971094,41.315425,-81.811754
2022-02-09 01:21:06.971094,41.274459,-81.806321
2022-02-09 01:21:06.971094,41.464532,-81.528472
2022-02-09 01:22:25.807663,41.258683,-81.501013
2022-02-09 01:22:25.807663,41.315425,-81.811754
2022-02-09 01:22:25.807663,41.274459,-81.806321
2022-02-09 01:22:25.807663,41.464532,-81.528472
2022-02-09 01:22:49.740003,41.258683,-81.501013
2022-02-09 01:22:49.740003,41.315425,-81.811754
2022-02-09 01:22:49.740003,41.274459,-81.806321
2022-02-09 01:22:49.740003,41.464532,-81.528472
2022-02-09 01:25:35.878114,43.451979,-80.477983
2022-02-09 01:25:35.878114,41.258683,-81.501013
2022-02-09 01:25:35.878114,41.315425,-81.811754
2022-02-09 01:25:35.878114,41.464532,-81.528472
2022-02-09 01:28:02.177165,43.451979,-80.477983
2022-02-09 01:28:02.177165,41.258683,-81.501013
2022-02-09 01:28:02.177165,41.315425,-81.811754
2022-02-09 01:32:37.407888,43.451979,-80.477983
2022-02-09 01:32:37.407888,41.258683,-81.501013
2022-02-09 01:32:37.407888,41.315425,-81.811754
2022-02-09 01:33:23.336484,43.451979,-80.477983
2022-02-09 01:33:23.336484,41.258683,-81.501013
2022-02-09 01:33:23.336484,41.315425,-81.811754
2022-02-09 01:33:38.692024,43.451979,-80.477983
2022-02-09 01:33:38.692024,41.258683,-81.501013
2022-02-09 01:33:38.692024,41.315425,-81.811754
2022-02-09 01:33:53.989859,43.56086,-79.815413
2022-02-09 01:43:51.063136,43.746148,-79.841631
2022-02-09 01:43:51.063136,41.230399,-80.658412
2022-02-09 01:43:51.063136,41.503643,-81.476348
2022-02-09 01:43:51.063136,41.381522,-82.206629
2022-02-09 01:50:27.922976,41.677039,-81.230002
2022-02-09 01:50:27.922976,41.469693,-81.564985
2022-02-09 01:59:23.705904,41.791618,-80.84727
2022-02-09 20:30:04.663172,42.905029,-81.271389
2022-02-09 20:30:04.663172,40.808226,-81.915946
2022-02-09 20:30:04.663172,42.039132,-80.106688
2022-02-09 20:30:04.663172,43.515029,-80.240284
2022-02-09 20:30:04.663172,41.41788,-81.734437
2022-02-09 20:30:04.663172,42.866636,-81.281455
2022-02-09 20:30:04.663172,41.546666,-81.497168
2022-02-09 20:30:04.663172,41.738087,-81.249025
2022-02-09 20:30:04.663172,42.907889,-82.503587
2022-02-09 20:30:04.663172,41.10438,-80.833588
2022-02-09 20:30:04.663172,41.164162,-81.469023
2022-02-09 20:30:04.663172,41.313876,-81.676209
2022-02-09 20:30:04.663172,40.95315,-81.763578
2022-02-09 20:30:04.663172,41.605535,-80.164778
2022-02-09 20:30:04.663172,41.108938,-81.603783
2022-02-09 20:30:04.663172,41.186859,-80.451515
2022-02-09 20:30:04.663172,41.275258,-80.776879
2022-02-09 20:30:04.663172,44.522505,-80.302138
2022-02-09 20:30:04.663172,41.694316,-81.25764
2022-02-09 20:30:04.663172,41.68835,-81.333501
